min_angle,max_angle,radiation,view,img
11,87,104.71,-41.12,https://code4architecture.github.io/DesignExplorer---Data/img_075.png
10,77,95.04,-36.55,https://code4architecture.github.io/DesignExplorer---Data/img_076.png
29,64,109.79,-42.87,https://code4architecture.github.io/DesignExplorer---Data/img_077.png
39,81,142.24,-55.64,https://code4architecture.github.io/DesignExplorer---Data/img_078.png
29,89,133.35,-52.78,https://code4architecture.github.io/DesignExplorer---Data/img_079.png
11,83,101.07,-39.53,https://code4architecture.github.io/DesignExplorer---Data/img_080.png
39,77,138.66,-54.06,https://code4architecture.github.io/DesignExplorer---Data/img_081.png
29,77,122.06,-48.02,https://code4architecture.github.io/DesignExplorer---Data/img_082.png
37,90,147.45,-58,https://code4architecture.github.io/DesignExplorer---Data/img_083.png
40,89,151.48,-59.42,https://code4architecture.github.io/DesignExplorer---Data/img_084.png
30,89,135.09,-53.38,https://code4architecture.github.io/DesignExplorer---Data/img_085.png
28,87,129.66,-51.38,https://code4architecture.github.io/DesignExplorer---Data/img_086.png
12,67,89.63,-33.79,https://code4architecture.github.io/DesignExplorer---Data/img_087.png
13,78,99.51,-38.76,https://code4architecture.github.io/DesignExplorer---Data/img_088.png
29,67,112.38,-44.06,https://code4architecture.github.io/DesignExplorer---Data/img_089.png
11,60,82.58,-30.42,https://code4architecture.github.io/DesignExplorer---Data/img_090.png
27,67,109.4,-42.85,https://code4architecture.github.io/DesignExplorer---Data/img_091.png
30,67,113.95,-44.66,https://code4architecture.github.io/DesignExplorer---Data/img_092.png
27,88,128.88,-51.17,https://code4architecture.github.io/DesignExplorer---Data/img_093.png
13,89,109.02,-43.12,https://code4architecture.github.io/DesignExplorer---Data/img_094.png
33,78,129.53,-50.83,https://code4architecture.github.io/DesignExplorer---Data/img_095.png
11,89,106.41,-41.91,https://code4architecture.github.io/DesignExplorer---Data/img_096.png
31,89,136.9,-53.98,https://code4architecture.github.io/DesignExplorer---Data/img_097.png
36,89,145.11,-57,https://code4architecture.github.io/DesignExplorer---Data/img_098.png
27,78,119.69,-47.21,https://code4architecture.github.io/DesignExplorer---Data/img_099.png
14,69,93.5,-35.79,https://code4architecture.github.io/DesignExplorer---Data/img_100.png
40,78,141.06,-55.06,https://code4architecture.github.io/DesignExplorer---Data/img_101.png
15,69,94.73,-36.4,https://code4architecture.github.io/DesignExplorer---Data/img_102.png
36,78,134.61,-52.64,https://code4architecture.github.io/DesignExplorer---Data/img_103.png
16,69,95.77,-37,https://code4architecture.github.io/DesignExplorer---Data/img_104.png
38,88,147.14,-57.81,https://code4architecture.github.io/DesignExplorer---Data/img_105.png
12,65,87.79,-33,https://code4architecture.github.io/DesignExplorer---Data/img_106.png
10,60,81.4,-29.81,https://code4architecture.github.io/DesignExplorer---Data/img_107.png
40,90,152.48,-59.81,https://code4architecture.github.io/DesignExplorer---Data/img_108.png
12,78,98.27,-38.15,https://code4architecture.github.io/DesignExplorer---Data/img_109.png
14,65,90.23,-34.21,https://code4architecture.github.io/DesignExplorer---Data/img_110.png
14,78,100.78,-39.36,https://code4architecture.github.io/DesignExplorer---Data/img_111.png
36,79,135.56,-53.04,https://code4architecture.github.io/DesignExplorer---Data/img_112.png
36,65,121.99,-47.49,https://code4architecture.github.io/DesignExplorer---Data/img_113.png
13,65,89.06,-33.61,https://code4architecture.github.io/DesignExplorer---Data/img_114.png
34,90,142.77,-56.19,https://code4architecture.github.io/DesignExplorer---Data/img_115.png
10,61,82.28,-30.21,https://code4architecture.github.io/DesignExplorer---Data/img_116.png
37,88,145.7,-57.21,https://code4architecture.github.io/DesignExplorer---Data/img_117.png
15,65,91.48,-34.81,https://code4architecture.github.io/DesignExplorer---Data/img_118.png
35,60,115.2,-44.91,https://code4architecture.github.io/DesignExplorer---Data/img_119.png
31,78,126.12,-49.62,https://code4architecture.github.io/DesignExplorer---Data/img_120.png
16,78,103.31,-40.57,https://code4architecture.github.io/DesignExplorer---Data/img_121.png
38,89,148.2,-58.21,https://code4architecture.github.io/DesignExplorer---Data/img_122.png
31,76,124.28,-48.83,https://code4architecture.github.io/DesignExplorer---Data/img_123.png
31,90,137.89,-54.38,https://code4architecture.github.io/DesignExplorer---Data/img_124.png
35,78,133.05,-52.04,https://code4architecture.github.io/DesignExplorer---Data/img_125.png
40,88,150.51,-59.02,https://code4architecture.github.io/DesignExplorer---Data/img_126.png
16,89,113.19,-44.93,https://code4architecture.github.io/DesignExplorer---Data/img_127.png
10,62,83.07,-30.61,https://code4architecture.github.io/DesignExplorer---Data/img_128.png
34,76,129.25,-50.64,https://code4architecture.github.io/DesignExplorer---Data/img_129.png
11,79,97.94,-37.95,https://code4architecture.github.io/DesignExplorer---Data/img_130.png
